Part_ID, Congruent_RT_Mean, Incongruent_RT_Mean, Congruent_ACC, Incongruent_ACC, Congruent_EFF, Incongruent_EFF, Global_RT_Mean, Local_RT_Mean, Global_ACC, Local_ACC, Global_EFF, Local_EFF, Global_Congruent_RT, Global_Incongruent_RT, Local_Congruent_RT, Local_Incongruent_RT, Global_Congruent_ACC, Global_Incongruent_ACC, Local_Congruent_ACC, Local_Incongruent_ACC, Global_Congruent_EFF, Global_Incongruent_EFF, Local_Congruent_EFF, Local_Incongruent_EFF 
z Scores 
ID, z_Congruent_RT_Mean, z_Incongruent_RT_Mean, z_Congruent_ACC, \z_Incongruent_ACC, z_Congruent_EFF, z_Incongruent_EFF, z_Global_RT_Mean, z_Local_RT_Mean, z_Global_ACC, z_Local_ACC, z_Global_EFF, z_Local_EFF, z_Global_Congruent_RT, z_Global_Incongruent_RT, z_Local_Congruent_RT, z_Local_Incongruent_RT, z_Global_Congruent_ACC, z_Global_Incongruent_ACC, z_Local_Congruent_ACC, z_Local_Incongruent_ACC, z_Global_Congruent_EFF, z_Global_Incongruent_EFF, z_Local_Congruent_EFF, z_Local_Incongruent_EFF 
1, 0.2892, 0.4574, -0.4941, -0.0367, 0.3806, 0.3357, 0.2800, 0.5313, -0.4611, 0.0690, 0.3761, 0.3546, 0.4997, 0.1003, -0.0480, 0.7179, -0.2164, -0.4837, -0.5904, 0.2756, 0.4916, 0.2179, 0.1188, 0.1912
2, -0.1995, -0.2182, 1.0624, 0.4845, -0.4230, -0.3999, 0.1541, -0.6493, 0.3826, 0.8109, -0.8487, -0.0039, 0.0374, 0.2726, -0.4467, -0.7552, 0.9995, 0.0053, 0.7726, 0.6460, -0.1838, 0.1301, -0.6463, -0.7024
3, -0.6902, -0.8773, -1.0081, -0.5132, -0.4511, -0.5504, -1.2072, -0.2014, -0.0392, -1.0438, 0.2281, -1.0601, -1.0482, -1.2939, -0.1755, -0.1844, 0.9995, -0.4837, -2.3729, -0.2800, -1.1473, -0.8532, 0.5728, -0.0656
4, -0.9079, -0.6080, 0.1245, 1.1268, -0.8944, -0.9122, -0.3964, -0.9347, 0.8045, 0.8109, -1.0734, -0.5765, -0.6977, -0.2106, -0.9971, -0.9408, -0.4279, 0.9834, 0.7726, 0.6460, -0.5712, -0.5755, -1.1542, -0.7964
5, 1.2606, 0.9676, 1.0624, -0.3276, 0.9208, 0.8782, 1.2254, 0.8757, -0.8829, 0.8109, 0.3514, 1.3428, 1.3062, 1.0556, 1.0063, 0.6569, 0.9995, -1.0251, 0.7726, 0.6460, 0.9422, 1.2580, 0.6947, 0.0126
6, -0.4045, 0.3408, 1.0624, 0.7765, -0.6117, -0.0840, -0.3754, 0.3305, 0.8045, 0.8109, -0.0776, -0.5591, -0.6066, -0.1423, -0.1573, 0.9801, 0.9995, 0.4944, 0.7726, 0.6460, -0.7555, -0.3597, -0.3792, 0.1763
7, -0.4030, -0.7070, 1.0624, 0.5662, -0.6103, -0.8028, -1.0905, 0.1518, 0.8045, 0.4399, -0.0796, -1.1522, -1.1631, -1.0145, 0.4384, -0.1219, 0.9995, 0.5817, 0.7726, 0.2344, -1.2493, -0.9955, 0.1705, -0.2334
8, 0.7757, 0.5930, -0.4007, -0.4148, 0.8248, 0.6141, 0.3670, 1.0035, -0.0392, -0.6729, 1.1014, 0.3012, 0.5737, 0.2045, 0.9558, 0.8418, 0.9995, -0.6234, -1.8237, -0.1204, 0.2921, 0.3642, 1.5398, 0.4281
9, -0.4880, -0.3631, 1.0624, 1.1268, -0.6885, -0.7320, -0.0732, -0.8436, 1.2263, 0.8109, -1.0017, -0.4161, -0.2236, 0.1348, -0.7262, -0.8526, 0.9995, 0.9834, 0.7726, 0.6460, -0.4155, -0.3448, -0.9041, -0.7517
10, -0.4484, -0.6595, -1.4896, -0.4960, -0.1059, -0.3779, -0.2674, -0.8401, -1.7267, 0.0690, -0.7482, 0.2589, 0.0185, -0.4689, -0.9844, -0.7687, -1.7363, -1.1796, -0.6622, 0.2875, 0.3872, 0.0911, -0.7713, -0.5916
11, -0.1613, -0.1057, 1.0624, -0.6658, -0.3878, 0.1509, 0.2618, -0.6746, -0.4611, 0.4399, -0.7432, 0.3385, 0.0797, 0.5007, -0.4147, -0.8196, 0.9995, -1.1590, 0.7726, 0.1409, -0.1463, 0.8814, -0.6167, -0.5682
12, 0.6440, 0.5666, 0.3452, 0.1830, 0.5190, 0.3279, 0.6399, 0.4946, 0.3826, 0.0690, 0.3460, 0.4075, 0.7259, 0.5533, 0.4375, 0.4846, -0.2632, 0.5147, 0.7726, -0.2430, 0.7109, 0.1177, 0.1697, 0.2875
13, 1.9279, 3.4190, -0.3179, -0.5132, 1.9062, 2.9864, 2.8010, 2.2636, -0.8829, 0.0690, 1.7962, 2.7658, 1.9208, 3.4700, 1.6141, 2.6786, -0.2632, -0.8912, -0.2371, 0.1629, 1.8138, 3.1143, 1.6047, 1.2761
14, 1.8052, 0.3763, 1.0624, 0.5223, 1.4219, 0.0415, -0.0862, 2.2865, 0.3826, 0.8109, 1.4618, -0.2073, 0.4722, -0.5531, 3.2709, 1.2834, 0.9995, 0.0053, 0.7726, 0.6460, 0.2020, -0.4740, 2.7845, 0.3298
15, 1.4667, 1.4814, -1.4316, 0.0257, 1.7721, 1.1202, 1.0235, 2.0383, -0.0392, -0.6729, 1.9866, 0.8689, 1.1211, 0.8349, 1.5559, 2.1944, -2.2834, 0.6085, -0.3633, -0.6362, 1.6051, 0.2745, 1.5942, 1.4472
16, -0.7008, -0.7922, 0.3722, 0.7988, -0.7487, -0.9441, -0.4544, -1.0526, 0.8045, 0.4399, -1.0467, -0.6246, -0.3173, -0.5419, -1.0270, -0.9372, -0.2164, 0.9834, 0.7726, 0.1830, -0.2615, -0.7969, -1.1818, -0.6448
17, -0.9295, -0.9740, 0.3452, -0.7609, -0.9580, -0.5351, -0.8055, -1.0403, -0.0392, -0.6729, -0.6470, -0.7127, -0.8089, -0.7792, -0.9362, -0.9860, -0.3684, 0.1182, 0.7726, -1.2866, -0.6857, -0.6789, -1.0979, -0.0994
18, -0.2870, -0.4367, 1.0624, 0.5558, -0.5035, -0.5928, -0.3614, -0.3078, 0.8045, 0.4399, -0.4486, -0.5474, -0.3072, -0.4181, -0.2734, -0.2865, 0.9995, 0.6085, 0.7726, 0.1830, -0.4897, -0.5914, -0.4863, -0.3010
19, -0.8165, 0.0779, -0.9328, -0.9287, -0.5903, 0.4241, -0.5402, -0.1542, -0.4611, -1.0438, 0.2694, -0.3701, -0.7590, -0.3135, -0.7657, 0.6142, -0.2164, -0.4837, -1.1746, -0.8694, -0.6686, -0.1000, -0.4112, 0.6588
20, -0.5467, -0.4636, -0.4617, 0.8304, -0.4298, -0.7078, -0.6938, -0.1803, 0.3826, 0.4399, -0.3462, -0.7218, -0.6512, -0.6872, -0.2308, -0.2200, -0.1730, 0.4721, -0.5904, 0.6460, -0.5775, -0.7330, -0.0588, -0.4314
21, -0.4158, -0.3061, 0.2841, 0.5451, -0.4631, -0.4892, -0.3866, -0.2356, 0.8045, 0.0690, -0.2526, -0.5683, -0.4081, -0.3879, -0.3895, -0.0766, 0.9995, 0.5817, -0.3178, 0.2015, -0.5793, -0.5614, -0.2922, -0.1971
22, -0.4255, -0.3787, -1.8065, -2.9633, -0.0095, 1.0873, -0.3808, -0.3832, -3.8359, -1.0438, 0.0692, 0.9203, -0.4308, -0.3064, -0.3391, -0.3979, -0.2164, -4.3958, -2.6350, -0.2088, -0.3661, 2.6910, 0.4925, -0.2117
23, -0.8505, -0.4779, 1.0624, 0.4708, -1.0220, -0.5944, -0.9903, -0.1904, 0.8045, 0.4399, -0.3544, -1.0691, -1.2215, -0.7185, -0.2418, -0.1266, 0.9995, 0.4721, 0.7726, 0.2015, -1.3011, -0.7549, -0.4571, -0.2235
24, -0.2930, -0.1295, -2.3884, 0.1428, 0.2644, -0.2020, -0.0910, -0.3511, -0.4611, -0.6729, -0.0575, 0.0268, -0.4310, 0.1296, -0.1607, -0.4454, -1.7363, 0.1182, -2.0475, 0.1168, -0.0481, -0.0212, 0.4762, -0.3609
25, 0.8937, -0.1573, 1.0624, 0.8057, 0.5831, -0.4693, 0.1868, 0.4739, 0.8045, 0.8109, 0.0352, -0.0927, 0.7826, -0.3761, 0.8955, 0.0621, 0.9995, 0.4478, 0.7726, 0.6460, 0.4775, -0.5067, 0.5924, -0.2886
26, 1.2378, 1.4739, 0.2841, 0.2542, 1.0918, 1.0054, 2.2536, 0.2468, -0.4611, 0.8109, -0.1435, 2.0983, 1.9752, 2.2846, 0.2200, 0.1964, -0.3684, -0.3144, 0.7726, 0.6460, 1.8925, 1.7910, -0.0310, -0.2206
27, 0.7181, 0.6899, 0.3308, -3.8064, 0.5920, 2.7985, 0.9067, 0.3923, 0.8045, -5.1241, 3.2587, 0.5044, 0.9408, 0.8951, 0.2908, 0.3575, -0.1730, 0.9834, 0.7726, -5.7042, 0.8876, 0.1631, 0.0344, 5.3273
28, -0.3802, -0.7884, 0.3722, 0.1428, -0.4480, -0.7198, -0.2567, -0.9667, -0.4611, 0.8109, -1.0985, -0.1196, -0.0811, -0.3827, -0.6227, -1.1821, -0.4279, -0.2663, 0.7726, 0.6460, 0.0008, -0.2427, -0.8087, -0.9186
29, -0.1182, 0.1629, -0.4617, 0.5339, -0.0184, -0.1263, -0.1989, 0.3727, 0.8045, -0.3019, 0.4006, -0.4127, 0.0438, -0.4072, -0.3160, 0.5244, -0.0595, 0.9834, -0.8310, -0.0275, 0.0381, -0.7069, -0.0696, 0.2155
30, -0.6848, -1.0217, -0.4007, -0.4148, -0.5752, -0.7058, -0.5162, -1.2147, -0.4611, -0.3019, -0.9285, -0.3489, -0.3348, -0.6258, -0.9230, -1.3334, -0.5638, -0.1802, -0.1674, -0.4123, -0.2066, -0.4583, -0.8452, -0.6538
31, -0.7165, -0.8715, 1.0624, 0.6295, -0.8987, -0.9491, -0.9980, -0.4198, 0.8045, 0.4399, -0.5386, -1.0755, -0.8235, -1.0557, -0.5292, -0.3972, 0.9995, 0.6319, 0.7726, 0.2756, -0.9479, -1.0390, -0.7224, -0.3929
